2026-05-13 10:58:45 | ERROR    | resource_monitor | CPU CRITICAL: 96.1%
2026-05-13 10:59:16 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 10:59:47 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 11:00:18 | ERROR    | resource_monitor | CPU CRITICAL: 96.0%
2026-05-13 11:00:49 | ERROR    | resource_monitor | CPU CRITICAL: 98.0%
2026-05-13 11:01:20 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 11:01:51 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 13:45:08 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 13:45:51 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 13:46:24 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
