2026-05-11 05:05:10 | ERROR    | health_monitor | Process DOWN: ai_layer (ai_layer.py)
2026-05-11 05:05:10 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

2026-05-11 05:05:12 | ERROR    | health_monitor | FAILED processes: ['orchestrator', 'intraday_engine', 'ai_layer']
2026-05-11 05:06:12 | ERROR    | health_monitor | Process DOWN: orchestrator (master_orchestrator.py)
2026-05-11 05:06:12 | ERROR    | health_monitor | Process DOWN: intraday_engine (intraday_engine.py)
2026-05-11 05:06:12 | ERROR    | health_monitor | Process DOWN: ai_layer (ai_layer.py)
2026-05-11 05:06:12 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

2026-05-11 05:06:14 | ERROR    | health_monitor | FAILED processes: ['orchestrator', 'intraday_engine', 'ai_layer']
2026-05-11 05:07:14 | ERROR    | health_monitor | Process DOWN: orchestrator (master_orchestrator.py)
2026-05-11 05:07:14 | ERROR    | health_monitor | Process DOWN: intraday_engine (intraday_engine.py)
2026-05-11 05:07:14 | ERROR    | health_monitor | Process DOWN: ai_layer (ai_layer.py)
2026-05-11 05:07:15 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

2026-05-11 05:07:16 | ERROR    | health_monitor | FAILED processes: ['orchestrator', 'intraday_engine', 'ai_layer']
2026-05-11 05:08:16 | ERROR    | health_monitor | Process DOWN: orchestrator (master_orchestrator.py)
2026-05-11 05:08:16 | ERROR    | health_monitor | Process DOWN: intraday_engine (intraday_engine.py)
2026-05-11 05:08:17 | ERROR    | health_monitor | Process DOWN: ai_layer (ai_layer.py)
2026-05-11 05:08:17 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

2026-05-11 05:08:18 | ERROR    | health_monitor | FAILED processes: ['orchestrator', 'intraday_engine', 'ai_layer']
2026-05-11 05:09:18 | ERROR    | health_monitor | Process DOWN: orchestrator (master_orchestrator.py)
2026-05-11 05:09:18 | ERROR    | health_monitor | Process DOWN: intraday_engine (intraday_engine.py)
2026-05-11 05:09:18 | ERROR    | health_monitor | Process DOWN: ai_layer (ai_layer.py)
2026-05-11 05:09:19 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

2026-05-11 05:09:20 | ERROR    | health_monitor | FAILED processes: ['orchestrator', 'intraday_engine', 'ai_layer']
2026-05-11 05:10:20 | ERROR    | health_monitor | Process DOWN: orchestrator (master_orchestrator.py)
2026-05-11 05:10:20 | ERROR    | health_monitor | Process DOWN: intraday_engine (intraday_engine.py)
2026-05-11 05:10:20 | ERROR    | health_monitor | Process DOWN: ai_layer (ai_layer.py)
2026-05-11 05:10:20 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

2026-05-11 05:10:22 | ERROR    | health_monitor | FAILED processes: ['orchestrator', 'intraday_engine', 'ai_layer']
2026-05-11 05:11:22 | ERROR    | health_monitor | Process DOWN: orchestrator (master_orchestrator.py)
2026-05-11 05:11:22 | ERROR    | health_monitor | Process DOWN: intraday_engine (intraday_engine.py)
2026-05-11 05:11:22 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

2026-05-11 05:11:24 | ERROR    | health_monitor | FAILED processes: ['orchestrator', 'intraday_engine']
2026-05-11 05:12:24 | ERROR    | health_monitor | Process DOWN: orchestrator (master_orchestrator.py)
